Name,Current price,Change(%),Open,High,Low,Volume
MULLEN AUTOMOTIVE INC.,0.107,4.9,0.104,0.109,0.102,215989229
PLX PHARMA INC.,0.36,227.27,0.28,0.46,0.23,170948070
ARRIVAL,0.142,16.39,0.158,0.189,0.131,143385982
TESLA INC.,184.51,10.3,179.94,185.1,176.11,142154637
EXELA TECHNOLOGIES INC.,0.039,11.43,0.035,0.04,0.034,94556249
BED BATH & BEYOND INC.,0.296,14.21,0.305,0.306,0.289,92578538
TROIKA MEDIA GROUP INC.,0.289,22.46,0.272,0.295,0.265,78783668
GLUCOTRACK INC.,3.2,168.91,1.55,3.75,1.36,78111051
PEAR THERAPEUTICS INC.,0.111,150.67,0.168,0.18,0.108,71011369
FARADAY FUTURE INTELLIGENT ELECTRIC,0.274,13.86,0.29,0.29,0.27,54950101
ADVANCED MICRO DEVICES INC.,95.48,3.26,91.32,95.79,91.02,52536324
APPLE INC.,162.03,11.6,161.42,162.03,160.08,47716882
JEFFS BRANDS LTD,1.41,93.68,1.39,1.57,1.2,46928335
MICRON TECHNOLOGY INC.,63.27,8.04,61.18,63.77,61.0,43280135
MARATHON DIGITAL HLD.,9.1,14.04,7.97,9.14,7.66,42370876
NVIDIA CORP.,275.79,2.0,268.23,276.21,266.69,39527855
AMAZON.COM INC.,102.17,0.11,100.96,102.2,99.57,37261185
INTEL CORP.,32.52,10.88,32.6,32.76,32.2,30534439
RIOT PLATFORMS INC.,10.58,15.5,9.17,10.62,8.94,30153893
PLUG POWER INC.,9.36,0.97,9.15,9.38,8.9,29697755
VIRGIN ORBIT HLD.,0.168,116.83,0.183,0.186,0.161,28215465
ONCOSEC MEDICAL INC.,1.27,13.39,1.72,2.14,1.19,27648463
ALPHABET INC. CLASS A,106.44,11.83,106.98,107.59,105.12,27067355
AGRIFY CORP.,0.279,95.11,0.16,0.35,0.15,26754153
MICROSOFT CORP.,289.39,10.76,289.21,289.6,284.71,23102994
SOFI TECHNOLOGIES INC.,5.91,2.78,5.69,5.92,5.66,21151230
OPENDOOR TECHNOLOGIES INC,1.68,0.0,1.66,1.69,1.59,20179679
ALPHABET INC. CLASS C,106.95,11.79,107.39,107.97,105.6,19741517
NATIONAL CINEMEDIA INC.,0.133,0.0,0.137,0.14,0.13,19263370
E-HOME HOUSEHOLD SERVICE HLD.,0.082,18.89,0.089,0.094,0.07,19156876
CONTEXTLOGIC INC.,0.415,1.22,0.4,0.432,0.398,18978073
AMERICAN AIRLINES GROUP INC.,14.15,1.0,13.98,14.17,13.91,18832270
TILRAY BRANDS INC.,2.74,5.38,2.6,2.77,2.56,18343153
AGNC INVESTMENT,10.02,12.62,10.27,10.31,9.76,17480293
HUNTINGTON BANCSHARES INC.,11.3,0.98,11.1,11.48,11.03,16774179
CSX CORP.,29.99,10.1,29.83,30.04,29.76,16722822
LYFT INC.,9.91,5.09,9.31,9.99,9.19,16390509
SOUNDHOUND AI INC.,3.07,8.48,2.84,3.17,2.66,16129386
META PLATFORMS INC.,214.75,10.62,214.71,215.66,210.66,16106074
CANOO INC.,0.53,1.92,0.537,0.54,0.503,15919947
WARNER BROS. DISCOVERY,15.4,1.92,15.01,15.52,14.96,15878276
GUARDFORCE AI CO.,16.0,25.49,16.48,18.86,15.05,14805218
RIVIAN AUTOMOTIVE INC.,14.81,2.35,14.32,14.85,14.03,14468617
COINBASE GLOBAL INC.,66.13,7.63,61.37,66.19,59.66,14391788
SIRIUS XM HOLDINGS INC.,4.08,2.26,3.97,4.13,3.97,14374507
HUT 8 MINING CORP.,1.84,9.52,1.65,1.88,1.62,13826329
BRENMILLER ENERGY LTD,1.35,51.69,1.1,2.75,1.1,12733951
TG THERAPEUTICS INC.,19.01,22.8,17.02,19.24,16.9,12659898
COMCAST CORP.,38.23,1.43,37.53,38.28,37.42,12432581
IDEANOMICS INC.,0.097,12.02,0.097,0.097,0.093,11634349
LUCID GROUP INC.,8.03,4.29,7.6,8.07,7.43,11520890
NIKOLA CORP.,1.19,12.46,1.23,1.23,1.17,11369017
VIATRIS INC.,9.85,10.71,9.95,9.97,9.75,10184629
CISCO SYSTEMS INC.,51.33,0.12,51.11,51.4,50.88,10177650
